year,brand,ad_url,ad_time,category,gender,diversity
2018,Toyota,https://superbowl-ads.com/good-odds-toyota/,60,car,both,TRUE
2006,Bud Light,https://superbowl-ads.com/2006-bud-light-bear-attack/,30,beer,male,FALSE
2018,Hynudai,https://superbowl-ads.com/hope-detector-nfl-super-bowl-lii-hyundai/,60,car,both,FALSE
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-hermit-crab/,30,beer,both,FALSE
2020,Toyota,https://superbowl-ads.com/2020-toyota-go-places-with-cobie-smulders/,60,car,both,TRUE
2020,Coca-Cola,https://superbowl-ads.com/2020-coca-cola-energy-show-up/,60,pop,both,FALSE
2020,Kia,https://superbowl-ads.com/2020-kia-tough-never-quits/,60,car,male,TRUE
2020,Hynudai,https://superbowl-ads.com/2020-hyundai-smaht-pahk/,60,car,both,FALSE
2020,Budweiser,https://superbowl-ads.com/2020-budweiser-typical-american/,60,beer,both,TRUE
2010,Hynudai,https://superbowl-ads.com/hd-2010-super-bowl-commercial-new-hyundai-super-bowl-44-xliv-ad-hyundai-body-pass-2011-sonata/,30,car,male,TRUE
2010,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-scientist-2010-superbowl-44-xliv-commercial-ad/,30,beer,both,TRUE
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-king-crab/,30,beer,female,FALSE
2002,Budweiser,https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/,60,beer,male,FALSE
2020,NFL,https://superbowl-ads.com/2020-nfl-next-100/,120,NFL,male,TRUE
2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/,30,NFL,male,TRUE
2005,Bud Light,https://superbowl-ads.com/2005-bud-light-parrot/,30,beer,both,FALSE
2009,Pepsi,https://superbowl-ads.com/2009-pepsi-max-im-good/,30,pop,male,TRUE
2004,Bud Light,https://superbowl-ads.com/2004-bud-light-frank/,30,beer,both,FALSE
2020,Doritos,https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/,60,snack,male,TRUE
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,30,beer,both,TRUE
2020,Pepsi,https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/,30,pop,female,TRUE
2019,Hynudai,https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/,75,car,both,FALSE
2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdales-generations/,60,beer,male,FALSE
2011,Kia,https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/,60,car,both,FALSE
2019,Doritos,https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/,60,car,male,TRUE
2019,Pepsi,https://superbowl-ads.com/2019-pepsi-more-than-ok/,30,pop,both,TRUE
2013,Hynudai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,30,car,male,FALSE
2019,NFL,https://superbowl-ads.com/2019-nfl-nfl100/,120,NFL,male,TRUE
2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-border/,60,pop,male,FALSE
2019,Pepsi,https://superbowl-ads.com/2019-pepsi-bubly-buble/,30,pop,both,TRUE
2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,30,car,both,FALSE
2010,Bud Light,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/,45,beer,both,TRUE
2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,30,finance,male,FALSE
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,30,beer,both,FALSE
2018,Doritos,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,30,snack,male,FALSE
2001,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,30,beer,male,TRUE
2018,Coca-Cola,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/,30,pop,female,FALSE
2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,100,car,male,FALSE
2004,Pepsi,https://superbowl-ads.com/2004-pepsi-bears-find-food/,45,pop,male,FALSE
2018,Kia,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/,75,car,male,FALSE
2018,Pepsi,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/,30,pop,both,TRUE
2018,NFL,https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/,,NFL,,
2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/,15,finance ,male,FALSE
2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/,60,NFL,male,TRUE
2000,E-Trade,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,30,finance,both,TRUE
2007,E-Trade,https://superbowl-ads.com/2007-etrade-one-finger/,30,finance,male,FALSE
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,30,beer,both,TRUE
2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,30,snack,male,FALSE
2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,30,beer,both,FALSE
2007,Doritos,https://superbowl-ads.com/2007-doritos-live-the-favor/,30,snack,both,FALSE
2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/,30,beer,male,FALSE
2012,E-Trade,https://superbowl-ads.com/2012-etrade-fatherhood/,30,finance,male,FALSE
2019,Bud Light,https://superbowl-ads.com/2019-bud-light-medieval-barbers/,15,beer,male,FALSE
2017,Kia,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/,60,car,female,FALSE
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/,30,beer,both,FALSE
2011,Bud Light,https://superbowl-ads.com/2011-bud-light-dog-sitter/,30,beer,both,TRUE
2016,Pepsi,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/,30,pop,both,TRUE
2009,Hynudai,https://superbowl-ads.com/2009-hyundai-angry-bosses/,30,car,male,TRUE
