year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex
2018,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2018,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2020,Toyota,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2020,Coca-Cola,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
2020,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2020,Hynudai,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
2020,Budweiser,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2010,Hynudai,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2007,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2002,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2020,NFL,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2017,NFL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2009,Pepsi,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2004,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
2020,Doritos,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2020,Pepsi,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2019,Hynudai,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2009,Budweiser,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2011,Kia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2019,Doritos,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2019,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2013,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2019,NFL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2011,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019,Pepsi,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2016,Hynudai,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2001,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,Doritos,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2001,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,Coca-Cola,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2018,Kia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2018,Pepsi,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2018,NFL,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2010,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,NFL,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2000,E-Trade,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2007,E-Trade,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2013,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2007,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2009,Budweiser,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
2012,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,Kia,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2011,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
